industry,year,total_vol_12m_mean,total_vol_12m_std,systematic_vol_12m_mean,systematic_vol_12m_std,idiosyncratic_vol_12m_mean,idiosyncratic_vol_12m_std
Retail Trade,2022,0.1126341012142367,0.05438613142095638,0.04491733330874825,0.031210332513443708,0.09206813342300187,0.04955425089467851
Retail Trade,2023,0.1368317883785488,0.07938695187339796,0.07615069360808856,0.04309485927100943,0.09938585499089185,0.0691631907835304
Services,1996,0.1644229826559093,0.0970274330952653,0.06493561946613144,0.052582826642414475,0.13246561990523,0.08172538001879219
Services,1997,0.16788251921566139,0.11636701711291046,0.06118181234879944,0.05862587259606825,0.14053397688787303,0.1001884637558915
Services,1998,0.189293438610976,0.12505872113763503,0.08054590830006862,0.06382550060131155,0.14791438069637358,0.10943964273574121
Services,1999,0.2317414945132495,0.1617694226319317,0.09662736710444098,0.08362732328780662,0.18529421671906932,0.1433185022875418
Services,2000,0.2926157015672241,0.24893627604998902,0.09518728345910277,0.08883181493804987,0.25043087100060557,0.2277436718493288
Services,2001,0.29181539973934145,0.19849240065680776,0.1318766042087341,0.11547007604877742,0.22814710679602496,0.16448432615717298
Services,2002,0.22239672850210307,0.14292812554916431,0.09035426746045977,0.08798771439122059,0.17832341737774518,0.11979494303306411
Services,2003,0.18277719532819614,0.12144303999238007,0.07198815491801004,0.06855225977947292,0.1468980062910069,0.10606997031389792
Services,2004,0.1446297489846219,0.11286293042433647,0.05336487486759687,0.05605363531836716,0.1170634898963262,0.09659104358059786
Services,2005,0.12678134158262425,0.08632668437278242,0.05418487103423,0.05660130185862156,0.10151204356375182,0.06699320183776307
Services,2006,0.10993631882851754,0.061070859497802304,0.04255778801995383,0.03742698642292233,0.09108118345901352,0.05082803143801453
Services,2007,0.10649073252471992,0.06630717171724088,0.03740182155306843,0.03203524382220547,0.0894495885632205,0.058772534957382654
Services,2008,0.1401122349319539,0.08703139956663593,0.05613807761279713,0.04181208789380558,0.11456327458796893,0.07988301861020311
Services,2009,0.20548303734410547,0.13009960672723822,0.11253026738612389,0.08447658866390795,0.14465476463011817,0.10300128636019174
Services,2010,0.14080406737234552,0.09887052776740131,0.06199854263506786,0.0557528478397602,0.10851334217100633,0.08366877030712899
Services,2011,0.12290772445122632,0.06832895168806107,0.060050143164916525,0.04314368429552575,0.09210288324727463,0.06034357975397807
Services,2012,0.1344311498448108,0.09382465112882589,0.0687331289530162,0.050065587149928384,0.09805482648729513,0.08325681737276754
Services,2013,0.11731630907831835,0.102605326159896,0.04258297412215212,0.05532581295397173,0.09773217770343767,0.08464167735197864
Services,2014,0.11180586436972118,0.08608087223351794,0.039351000800899545,0.03310166008951307,0.09345581213917074,0.07899212219674862
Services,2015,0.11008796652888465,0.09689602027078742,0.040598597508172414,0.04839201428007911,0.09003246840840358,0.08104207347634343
Services,2016,0.1258373689658649,0.15968861354880695,0.043844592045745916,0.03823777068978929,0.10457751729237816,0.14923564216625065
Services,2017,0.12358871906286223,0.14137425725535938,0.03626172604154592,0.0385611266880406,0.10740046097105363,0.13082798419718594
Services,2018,0.12222436865303625,0.10916993573914868,0.04206215964656521,0.04763934575528677,0.1021776483499689,0.09636296924625574
Services,2019,0.13987831600182568,0.07528936357560281,0.07830327430979812,0.0474200583354885,0.09977728143832598,0.0634406975321381
Services,2020,0.15669428340523164,0.08228841165399552,0.09679994203230159,0.0651977150436022,0.10039708291425538,0.062219561626099394
Services,2021,0.1795457121254697,0.32389361078343504,0.08281486845559076,0.09834197116046577,0.1351562393009874,0.28932838340941036
Services,2022,0.144165096010946,0.23150143398496154,0.05826462682049748,0.10468017068567742,0.11734207546123983,0.19449274054433968
